 INFO  Accepting connections at http://localhost:3000
 HTTP  20/02/2026 05:11:16 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 GET /
 HTTP  20/02/2026 05:11:16 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 Returned 304 in 1 ms
 HTTP  20/02/2026 05:11:16 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 GET /assets/index-C_ixqoED.js
 HTTP  20/02/2026 05:11:16 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 GET /assets/index-CFVvAVb1.css
 HTTP  20/02/2026 05:11:16 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 Returned 304 in 1 ms
 HTTP  20/02/2026 05:11:16 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 Returned 304 in 2 ms
 HTTP  20/02/2026 05:11:16 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 GET /weather-icon.svg
 HTTP  20/02/2026 05:11:16 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 Returned 304 in 1 ms
 HTTP  20/02/2026 05:11:21 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 GET /
 HTTP  20/02/2026 05:11:21 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 Returned 304 in 1 ms
 HTTP  20/02/2026 05:11:21 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 GET /assets/index-C_ixqoED.js
 HTTP  20/02/2026 05:11:21 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 GET /assets/index-CFVvAVb1.css
 HTTP  20/02/2026 05:11:21 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 Returned 304 in 2 ms
 HTTP  20/02/2026 05:11:21 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 Returned 304 in 3 ms
 HTTP  20/02/2026 05:11:23 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 GET /
 HTTP  20/02/2026 05:11:23 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 Returned 304 in 1 ms
 HTTP  20/02/2026 05:11:23 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 GET /assets/index-C_ixqoED.js
 HTTP  20/02/2026 05:11:23 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 GET /assets/index-CFVvAVb1.css
 HTTP  20/02/2026 05:11:23 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 Returned 304 in 1 ms
 HTTP  20/02/2026 05:11:23 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 Returned 304 in 2 ms
 HTTP  20/02/2026 05:11:23 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 GET /weather-icon.svg
 HTTP  20/02/2026 05:11:23 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 Returned 304 in 2 ms
 HTTP  20/02/2026 08:54:32 100.80.97.51 GET /
 HTTP  20/02/2026 08:54:32 100.80.97.51 Returned 304 in 1 ms
 HTTP  20/02/2026 08:54:32 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  20/02/2026 08:54:32 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  20/02/2026 08:54:32 100.80.97.51 Returned 304 in 1 ms
 HTTP  20/02/2026 08:54:32 100.80.97.51 Returned 304 in 0 ms
 HTTP  20/02/2026 08:54:32 100.80.97.51 GET /weather-icon.svg
 HTTP  20/02/2026 08:54:32 100.80.97.51 Returned 304 in 1 ms
 HTTP  20/02/2026 08:55:04 100.80.97.51 GET /
 HTTP  20/02/2026 08:55:04 100.80.97.51 Returned 304 in 1 ms
 HTTP  20/02/2026 08:55:04 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  20/02/2026 08:55:04 100.80.97.51 Returned 304 in 1 ms
 HTTP  20/02/2026 08:55:04 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  20/02/2026 08:55:04 100.80.97.51 Returned 304 in 1 ms
 HTTP  20/02/2026 08:55:04 100.80.97.51 GET /weather-icon.svg
 HTTP  20/02/2026 08:55:04 100.80.97.51 Returned 304 in 1 ms
 HTTP  20/02/2026 18:41:03 100.80.97.51 GET /
 HTTP  20/02/2026 18:41:03 100.80.97.51 Returned 304 in 1 ms
 HTTP  20/02/2026 18:41:03 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  20/02/2026 18:41:03 100.80.97.51 Returned 304 in 1 ms
 HTTP  20/02/2026 18:41:03 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  20/02/2026 18:41:03 100.80.97.51 Returned 304 in 1 ms
 HTTP  20/02/2026 18:41:03 100.80.97.51 GET /weather-icon.svg
 HTTP  20/02/2026 18:41:03 100.80.97.51 Returned 304 in 1 ms
 HTTP  20/02/2026 18:41:46 100.80.97.51 GET /
 HTTP  20/02/2026 18:41:46 100.80.97.51 Returned 304 in 2 ms
 HTTP  20/02/2026 18:41:46 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  20/02/2026 18:41:46 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  20/02/2026 18:41:46 100.80.97.51 Returned 304 in 2 ms
 HTTP  20/02/2026 18:41:46 100.80.97.51 Returned 304 in 1 ms
 HTTP  20/02/2026 18:41:46 100.80.97.51 GET /weather-icon.svg
